Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Ikar Tosafot Yom Tov on Mishnah Berakhot 9:5:2,On Your Way,he,וביצר רע. לשון הר''מ אפילו בשעת העברה והכעס והאף שכל זה הוא יצר רע:,hebmorph-standard,152.3132
1,--,Sforno on Genesis 39:12:1,On Your Way,he,וינס מן החדר פן יגבר עליו יצר הרע:,hebmorph-standard,170.98116
2,--,"Otzar Midrashim, Midrash Shelosha v'Arba'ah 1:7","Otzar Midrashim, New York, 1915",he,"ה׳) שלש מדות טובות ברא הקב״ה בעולמו, ואלו הן: יצר הרע, וקנאה, ורחמים. אם אין יצר הרע אין כל בריה מתעסק בפריה ורביה, אם אין קנאה אין כל בריה מתעסק בנטיעה, אם אין הרחמים אין העולם עומד.",hebmorph-standard,137.49773
3,--,Pirkei Avot 2:11,"Mishnah, ed. Romm, Vilna 1913",he,רבי יהושע אומר עין הרע. ויצר הרע. ושנאת הבריות. מוציאין את האדם מן העולם: ,hebmorph-standard,182.67653
4,--,Rashi on Berakhot 33a:7:3,Vilna Edition,he,ביומי ניסן - מתוך שעברו ימי הסתיו שהארץ יבשה ועכשיו רואה אותה מלאה דשאים זחה דעתו עליו ונכנס בו יצר הרע:,original,17.389587
5,--,"Bekhor Shor, Numbers 6:26:2","Bekhor Shor, Breslau, 1900",he,"וישם לך שלום. שלא יתגרה בך יצר הרע ושטן ואומות העולם ושום פגע ושום מזיק:
",hebmorph-standard,136.66759
6,--,Bereishit Rabbah 9:7,Daat Bereshit Rabbah,he,"רבי נחמן בר שמואל בר נחמן בשם רב שמואל בר נחמן אמר: הנה טוב מאד, זה יצר טוב. והנה טוב מאד, זה יצר רע. וכי יצר הרע טוב מאד אתמהא?! אלא שאלולי יצר הרע, לא בנה אדם בית, ולא נשא אשה, ולא הוליד, ולא נשא ונתן. וכן שלמה אומר: (קהלת ד): כי היא קנאת איש מרעהו:",hebmorph-standard,127.540794
7,--,Rashi on Kiddushin 81a:13:2,Vilna Edition,he,אידמי ליה שטן - דהוא יצר הרע:,hebmorph-standard,204.5451
8,--,Chagigah 16a:15,William Davidson Edition - Aramaic,he,דרש רבי יהודה ברבי נחמני מתורגמניה דריש לקיש מאי דכתיב אל תאמינו ברע אל תבטחו באלוף אם יאמר לך יצר הרע חטוא והקדוש ברוך הוא מוחל אל תאמן שנאמר אל תאמינו ברע ואין רע אלא יצר הרע שנאמר כי יצר לב האדם רע ,aggresive-ngram,44.188263
9,--,Zohar 1:144a:5,Torat Emet Zohar,he,"אתי בר נש לאתדכאה ולאשתדלא בפקודי דאורייתא, ההוא יצר טוב דאזדווג ביה, כבר איהו אתתקף על ההוא יצר הרע ואשתלים בהדיה ואתהפיך ליה לעבדא. וכד בר נש אזיל לאסתאבא, ההוא יצר הרע אתתקף ואתגבר על ההוא יצר טוב",infreq,30.1214
10,--,Rashi on Kiddushin 30b:8:1,Vilna Edition,he,מנוול זה - יצר הרע מתגרה בך:,hebmorph-standard,204.34407
11,--,Rashi on Avodah Zarah 4b:77:1,WikiSource Rashi,he,לבי חלל - יצר הרע חלל בקרבי ואין לו כח לשלוט בקרבי:,hebmorph-standard,136.66759
12,--,Sanhedrin 45a:20,Wikisource Talmud Bavli,he,גמירי אין יצר הרע שולט אלא במי שעיניו רואות,hebmorph-standard,191.72018
13,--,Rashi on Kiddushin 30a:1:1,Vilna Edition,he,הוה אמינא ליה לשטן גירא בעיניך - כלומר הייתי מתגרה בו ושטן הוא יצר הרע ולא אירא שיחטיאני:,original,17.389587
14,--,Sukkah 52b:8,William Davidson Edition - Aramaic,he,ישמעאלים דכתיב ישליו אהלים לשודדים ובטוחות למרגיזי אל לאשר הביא אלוה בידו יצר הרע דכתיב ואשר הרעתי,hebmorph-standard,142.78685
15,--,Berakhot 61a:27,William Davidson Edition - Aramaic,he,אמר רב יצר הרע דומה לזבוב ויושב בין שני מפתחי הלב שנאמר זבובי מות יבאיש יביע שמן רוקח ושמואל אמר כמין חטה הוא דומה שנאמר לפתח חטאת רובץ ,hebmorph-standard,128.80246
16,--,Bava Batra 16a:8,Wikisource Talmud Bavli,he,"אמר ר""ל הוא שטן הוא יצר הרע הוא מלאך המות הוא שטן דכתיב (איוב ב, ז) ויצא השטן מאת פני ה' הוא יצר הרע כתיב התם (בראשית ו, ה) רק רע כל היום וכתיב הכא (רק את נפשו שמור) [(איוב א, יב) רק אליו אל תשלח ידך] הוא מלאך המות דכתיב (איוב ב, ו) (רק) [אך] את נפשו שמור אלמא בדידיה קיימא",hebmorph-exact,17.383343
17,--,Rashi on Ecclesiastes 11:10:2,On Your Way,he,והעבר רעה . יצר הרע : ,hebmorph-standard,272.45877
18,--,Rashi on Kiddushin 30b:5:1,Vilna Edition,he,משאו ומתנו - של יצר הרע באדם להחטיאו:,hebmorph-standard,205.17738
19,--,Rashi on Proverbs 29:21:1,On Your Way,he,מפנק מנער עבדו . יצר הרע : ,hebmorph-standard,239.16827
20,--,Rashi on Sukkah 52b:5:4,Vilna Edition,he,ויבא הלך - בדוד ובת שבע קאי דקאמר ליה נביא לדוד על יצר רע הבא עליו:,hebmorph-standard,136.78493
21,--,Kiddushin 30b:4,William Davidson Edition - Aramaic,he,כך הקדוש ברוך הוא אמר להם לישראל בני בראתי יצר הרע ובראתי לו תורה תבלין ואם אתם עוסקים בתורה אין אתם נמסרים בידו שנאמר הלוא אם תיטיב שאת,hebmorph-standard,122.20637
22,--,Kiddushin 21b:21,William Davidson Edition - Aramaic,he,תנו רבנן וראית בשביה בשעת שביה אשת ואפילו אשת איש יפת תואר לא דברה תורה אלא כנגד יצר הרע מוטב שיאכלו ישראל בשר,hebmorph-standard,135.30782
23,--,Kiddushin 30b:6,William Davidson Edition - Aramaic,he,תנו רבנן קשה יצר הרע שאפילו יוצרו קראו רע שנאמר כי יצר לב האדם רע מנעריו אמר רב יצחק יצרו של אדם מתחדש עליו בכל יום שנאמר רק רע כל היום,infreq,32.766663
24,--,Rashi on Yoma 69b:6:2,Vilna Edition,he,האי דאחרביה לבית המקדש - מבקשין רחמים שימסר בידם יצר הרע של עבודת כוכבים:,hebmorph-standard,136.78493
25,--,"Bekhor Shor, Exodus 23:4:1","Bekhor Shor, Leipzig, 1856",he,"שור אויבך. אפי' איבך ואף מצוה יותר באויב מבאוהב כדי לכוף יצר הרע:
",hebmorph-standard,136.22939
26,--,Rashi on Sanhedrin 64a:24:1,Wikisource Rashi,he,זאת הרשעה - זהו יצר הרע ובנבואת זכריה כתיב שהיה בתחילת בית שני:,hebmorph-standard,136.3634
27,--,Rashi on Berakhot 32a:1:1,Vilna Edition,he,דכתיב ואשר הרעותי - רישא דקרא אוספה הצולעה והנדחה אקבצה ואשר הרעותי אני גרמתי להם שבראתי יצר הרע:,aggresive-ngram,17.783836
28,--,Rashi on Zechariah 4:14:3,On Your Way,he,"שני בני היצהר . יצר טוב ויצר הרע מתהפך לטוב בזכות התורה :

",ngram,34.346806
29,--,Tosafot Yom Tov on Pirkei Avot 2:11:2,"Mishnah, ed. Romm, Vilna 1913",he,"יצר הרע. רוב התאוה. הרמב""ם: 
",hebmorph-standard,238.40141
30,--,Rashi on Berakhot 17a:2:3,Vilna Edition,he,שאור שבעיסה - יצר הרע שבלבבנו המחמיצנו:,hebmorph-standard,204.5451
31,--,Rashi on Temurah 16a:62:1,WikiSource Rashi,he,ועשית לי מרעה לבלתי - כלומר לבלתי ישגבני יצר הרע מלשנות שלא ישגבני יצר הרע לבטל מתלמוד תורה:,hebmorph-standard,168.74112
32,--,Metzudat David on Zechariah 13:2:3,On Your Way,he,רוח הטומאה. הוא יצר הרע: ,hebmorph-standard,238.63596
33,--,Rashi on Bava Batra 16a:12:4,Vilna Edition,he,בראת רשעים - על ידי יצר הרע לפיכך אין ניצול מידך כי מי יעכב אנוסין הן החוטאין:,hebmorph-standard,136.66759
34,--,Rashi on Berakhot 5a:2:1,Vilna Edition,he,ירגיז יצר טוב - שיעשה מלחמה עם יצר הרע:,hebmorph-standard,170.28673
35,--,Rashi on Bava Batra 17a:2:1,Vilna Edition,he,חלל בקרבי - יצרי הרע מת בקרבי:,hebmorph-standard,144.63524
36,--,Rashi on Sukkah 52b:2:1,Vilna Edition,he,מנוול זה - יצר הרע:,hebmorph-standard,273.33517
37,--,Rashi on Sukkah 38a:1:8,Vilna Edition,he,לאיגוריי - שיתגרה בו שטן שהוא יצר הרע וישיאנו לתעות מעל קונו וימסור עצמו על הדבר:,hebmorph-standard,136.23306
38,--,Rashi on Lamentations 3:42:1,On Your Way,he,נחנו פשענו ומרינו . זה דרכינו על ידי יצר הרע [ : ,hebmorph-standard,170.83449
39,--,Sforno on Numbers 25:1:2,On Your Way,he," ויאכל העם וישתחוו לאלהיהן שכך דרכו של יצר הרע לצאת מרעה אל רעה כמו שהעידו רבותינו ז''ל (בשבת דף קה):

",hebmorph-standard,166.01248
40,--,Rashi on Berakhot 61b:2:1,Vilna Edition,he,ולבי חלל בקרבי - יצר הרע הרי הוא כמת בקרבי שיש בידי לכופו:,hebmorph-standard,136.22939
41,--,Sukkah 52a:5,William Davidson Edition - Aramaic,he,אמר רב אסי יצר הרע בתחילה דומה לחוט של בוכיא ולבסוף דומה כעבותות העגלה שנאמר הוי מושכי העון בחבלי השוא וכעבות העגלה חטאה,hebmorph-standard,141.87871
42,--,Rashi on Isaiah 5:6:6,On Your Way,he,ועלה שמיר ושית . שלט בו יצר הרע ובדורותיו אחריו לעשות מעשים מקולקלים : ,hebmorph-standard,136.78493
43,--,Rashi on Genesis 2:25:1,On Your Way,he,"ולא יתבוששו. שלא היו יודעים דרך צניעות להבחין בין טוב לרע, ואף על פי שנתנה בו דעה לקרות שמות, לא נתן בו יצר הרע עד אכלו מן העץ ונכנס בו יצר הרע וידע מה בין טוב לרע:

",hebmorph-standard,120.798225
44,--,Sukkah 52a:2,William Davidson Edition - Aramaic,he,הא הספידא מאי עבידתיה פליגי בה רבי דוסא ורבנן חד אמר על משיח בן יוסף שנהרג וחד אמר על יצר הרע שנהרג,hebmorph-standard,121.81453
45,--,"Kessef Mishneh on Mishneh Torah, Kings and Wars 8:2:2",Torat Emet 363,he,"ומ''ש אם תקפו יצרו. הכי תניא בפ''ק דקידושין (דף כ''א:) לא דברה תורה אלא כנגד יצר הרע: 
",ngram,30.17953
46,--,Daat Zkenim on Exodus 34:7:2,daat zekenim,he," נושא עון. לאדם שחוטא ע""י יצר הרע 
שמכריחו לחטא:",hebmorph-standard,170.45425
47,--,Ikar Tosafot Yom Tov on Pirkei Avot 2:11:2,On Your Way,he,יצר הרע. רוב התאוה. הר''מ:,hebmorph-standard,238.63596
48,--,Rashi on Isaiah 5:2:9,On Your Way,he,ויסקלהו . מיצר הרע עד שאכל מן העץ ונכנס בו יצר הרע : ,hebmorph-standard,152.30908
49,--,Rashi on Berakhot 32a:2:1,Vilna Edition,he,אלמלא שלש מקראות הללו - שמעידין שיש ביד הקדוש ברוך הוא לתקן יצרנו ולהסיר יצר הרע ממנו:,hebmorph-standard,136.22939
50,--,Rashi on Sanhedrin 24a:40:1,Wikisource Rashi,he,איפה - זה יצר הרע:,hebmorph-standard,272.45877
51,--,Rashi on Berakhot 32a:2:2,Vilna Edition,he,נתמוטטו - רגלינו במשפט אבל עכשיו יש לנו פתחון פה שהוא גרם לנו שברא יצר הרע:,hebmorph-standard,136.22939
52,--,Genesis 6:5,Tanach with Nikkud,he,וירא יהוה כי רבה רעת האדם בארץ וכל־יצר מחשבת לבו רק רע כל־היום,hebmorph-standard,24.294277
53,--,Rashi on Ecclesiastes 9:16:3,On Your Way,he,מלך גדול . זה יצר הרע שכל איבריו מרגישים בו : ,hebmorph-standard,170.98116
54,--,Zohar 3:246b:7,Torat Emet Zohar,he,"ובזמנין דחשך, דאיהו יצר הרע, מכסה על יצר הטוב, דאיהו אור. איהו כמאן דתפיס בבית האסורין דיצר הרע. ואוף הכי, כד יצר הטוב איהו תפיס ברשו דיצר הרע, הכי אינון תפיסין חיילין דיצר הטוב, ברשו דחיילין דיצר",original,12.936581
55,--,Rashi on Avodah Zarah 5b:10:1,WikiSource Rashi,he,משלחי רגל - משלחים ומשליכין רגלי יצר הרע הבא על האדם מעליהם. יצר הרע קרוי אורח כדכתיב ויבא הלך לאיש העשיר (שמואל ב יב):,hebmorph-standard,145.08234
56,--,Sforno on Numbers 5:13:1,On Your Way,he,ושכב איש אותה שכן דרכו של יצר הרע לצאת מרעה אל רעה:,hebmorph-standard,136.22939
57,--,Rashi on Genesis 4:7:3,On Your Way,he,"ואליך תשוקתו. של חטאת, הוא יצר הרע, תמיד שוקק ומתאוה להכשילך: ",hebmorph-standard,136.3634
58,--,Rashi on Sanhedrin 106a:31:1,Wikisource Rashi,he,בוער בו - שהיה משתכר ובוער בו יצר הרע:,hebmorph-standard,170.45425
59,--,Rashi on Sanhedrin 64a:13:2,Wikisource Rashi,he,(ובעו רחמי) - היו מבקשים רחמים שימסר בידם יצר הרע של עבודת כוכבים:,hebmorph-standard,136.66759
60,--,Niddah 13b:7,Wikisource Talmud Bavli,he,נקרא עבריין שכך אומנתו של יצר הרע היום אומר לו ,hebmorph-standard,191.12936
61,--,Rashi on Proverbs 22:10:1,On Your Way,he,"גרש לץ . יצר הרע :
",hebmorph-standard,272.7268
62,--,Rashi on Genesis 8:21:1,On Your Way,he,מנעריו. מנעריו כתיב משננער לצאת ממעי אמו נתן בו יצר הרע: ,hebmorph-standard,139.07141
63,--,"Bekhor Shor, Exodus 34:7:3","Bekhor Shor, Leipzig, 1856",he,"עון. זה אדם שחוטא ע""י יצר הרע שמכריחו לחטא:
",hebmorph-standard,170.28673
64,--,Rashi on Sukkah 52b:8:2,Vilna Edition,he,ואשר הרעתי - רישא דקרא אוספה הצולעה והנדחה אקבצה ואשר הרעתי אני בראתי את יצר הרע המחטיאם וגרמתי להם כל זאת:,ngram,31.117764
65,--,Rashi on Menachot 29b:54:1,Wikisource Rashi,he,לא מסתייעא מילתא - דהבא ליטהר בעי סיוע מפני יצר הרע הלכך עבדי ליה סיוע פתח יתירה:,hebmorph-standard,136.23306
66,--,Rashi on Sanhedrin 75a:23:2,Wikisource Rashi,he,וניתן לעוברי עבירה - שיצר הרע תוקפן ומרבה תאותן:,hebmorph-standard,120.90194
67,--,"Chizkuni, Genesis 1:31:1",Chizkuni,he,וירא אלקים את כל אשר עשה וגו׳‎ אפי׳‎ יצר הרע.,hebmorph-standard,170.83449
68,--,Rashi on Shabbat 156b:6:1,Vilna Edition,he,ובעי רחמי - בקש רחמים שלא ישלוט בך יצר הרע:,hebmorph-standard,170.83449
69,--,Kiddushin 21b:18,William Davidson Edition - Aramaic,he,בביאה ראשונה דכולי עלמא לא פליגי דשרי דלא דברה תורה אלא כנגד יצר הרע,hebmorph-standard,152.75734
70,--,Rashi on Isaiah 52:3:1,On Your Way,he,חנם נמכרתם . על עסקי חנם הוא יצר הרע שאינו לכם לשכר : ,hebmorph-standard,136.23306
71,--,"Otzar Midrashim, Chuppah of Eliyahu, Chuppat Eliyahu Rabbah 118","Otzar Midrashim, New York, 1915",he,"קט״ז) שלשה מדות טובות ברא הקב״ה בעולמו ואלו הן: יצר הרע וקנאה ורחמים, אם אין יצר הרע אין כל בריה מתעסק בפריה ורביה, אם אין קנאה אין כל בריה מתעסק בנטיעה, אם אין הרחמים אין העולם מתקיים. ",aggresive-ngram,44.23068
72,--,Rashi on Sanhedrin 98a:13:2,Wikisource Rashi,he,"מן הצר - מרוב הצרות ל""א מיצר הרע:",ngram,29.986696
73,--,Rashi on Zechariah 13:2:2,On Your Way,he,"רוח הטומאה . יצר הרע :
",hebmorph-standard,273.33517
74,--,Rashi on Isaiah 57:14:1,On Your Way,he,ואמר סלו סלו . כה אמר הנביא בשמי לעמי כבשו מסילה סלולה פנו יצר הרע מדרכיכם : ,hebmorph-standard,136.22939
75,--,"Otzar Midrashim, Pirkei Rabbeinu HaKadosh 1:124","Otzar Midrashim, New York, 1915",he,"קכ״א) ג׳ שמות יש לו ליצה״ר: יצר הרע, ושטן, ומלאך המות (ב״ב ט״ז.).",hebmorph-standard,136.3634
76,--,Rashi on Berakhot 10a:2:2,Vilna Edition,he,חטאים כתיב - קרי ביה חטאים שיכלה יצר הרע:,hebmorph-standard,170.29134
77,--,Shabbat 63b:3,Wikisource Talmud Bavli,he,"אמר רב הונא מאי דכתיב (קהלת יא, ט) שמח בחור בילדותך ויטיבך לבך בימי בחורותיך והלך בדרכי לבך ובמראה עיניך ודע כי על כל אלה יביאך האלהים במשפט עד כאן דברי יצר הרע מכאן ואילך דברי יצר טוב",original,12.623633
78,--,"Zohar Chadash, Lech Lecha 46",Zohar Chadash,he,"ג (בראשית יד) וישמע אברם כי נשבה אחיו. רבי אבא פתח, כנגד יצר הרע כדאיתא לעיל. הא תנינן, כיון שנפרד יצר הרע מן הגוף של צדיק לאיזה מקום הולך, למקום הרשעים, שלא יקטרגו עמו. ",aggresive-ngram,44.197556
